21st Century Charter ‐ Gary,A,A,A,XXX,XXX,XXX,A,A
South Newton,A,A,A,A,XXX,XXX,A,A,
South Putnam,2A,2A,2A,A,XXX,XXX,2A,2A,
South Ripley,2A,2A,2A,XXX,A,A,2A,2A,
South Spencer,2A,2A,2A,2A,A,A,2A,2A,
South Vermillion,3A,3A,3A,2A,2A,A,2A,3A,
Southern Wells,A,A,A,A,XXX,XXX,A,A,
Southmont,2A,2A,2A,2A,2A,A,2A,2A,
Southport,4A,4A,4A,6A,3A,3A,4A,4A,
Southridge,3A,2A,2A,3A,2A,XXX,2A,2A,
Southwestern (Hanover),2A,2A,2A,XXX,A,A,2A,2A,
Southwestern (Shelbyville),A,A,A,XXX,A,XXX,A,A,
Southwood,A,A,A,A,XXX,XXX,A,A,
Speedway,2A,3A,3A,2A,2A,A,2A,3A,
Springs Valley,A,A,A,A,XXX,XXX,A,A,
Steel City Academy,XXX,XXX,XXX,XXX,XXX,
Sullivan,3A,3A,3A,3A,2A,A,2A,3A,
Switzerland County,2A,2A,2A,XXX,A,A,2A,2A,
Taylor,2A,2A,2A,A,A,A,2A,2A,
Tecumseh,A,2A,A,A,XXX,XXX,2A,2A,
Tell City,2A,2A,2A,A,A,XXX,2A,2A,
Terre Haute North Vigo,4A,4A,4A,5A,3A,3A,4A,4A,
Terre Haute South Vigo,4A,4A,4A,5A,3A,3A,4A,4A,
Tindley,A,A,A,A,XXX,XXX,A,A,
Tippecanoe Valley,3A,3A,3A,3A,2A,XXX,2A,3A,
Tipton,2A,2A,2A,2A,2A,A,3A,2A,
Traders Point Christian Academy,A,A,A,A,A,A,XXX,A,
Tri,A,A,A,A,XXX,XXX,A,A,
Tri‐Central,A,A,A,A,A,A,A,A,
Tri‐County,A,A,A,A,XXX,XXX,A,A,
Trinity at Greenlawn,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
Trinity Lutheran,A,A,A,XXX,A,A,A,A,
Triton,A,A,A,A,XXX,XXX,A,A,
Triton Central,2A,2A,2A,2A,XXX,A,2A,2A,
Tri‐West Hendricks,3A,3A,3A,3A,2A,2A,3A,3A,
Twin Lakes,3A,3A,3A,3A,2A,2A,3A,3A,
Union (Modoc),A,A,A,XXX,XXX,XXX,A,A,
Union City,A,A,A,A,XXX,XXX,A,A,
Union County,2A,2A,2A,2A,A,A,2A,2A,
University,2A,2A,2A,XXX,A,A,A,2A,
Valparaiso,4A,4A,4A,5A,3A,3A,4A,4A,
Victory College Preparatory,XXX,A,A,XXX,XXX,XXX,XXX,XXX,
Vincennes Lincoln,3A,3A,3A,3A,2A,2A,3A,3A,
Vincennes Rivet,A,A,2A,XXX,A,A,A,A,
Wabash,2A,2A,2A,2A,A,A,2A,2A,
Waldron,A,A,A,XXX,A,XXX,A,A,
Wapahani,2A,2A,2A,XXX,A,A,2A,2A,
Warren Central,4A,4A,4A,6A,3A,3A,4A,4A,
Warsaw,4A,4A,4A,6A,3A,3A,4A,4A,
Washington,3A,3A,3A,3A,2A,2A,3A,3A,
Washington Catholic,A,A,A,XXX,A,A,A,A,
Washington Township,A,A,A,XXX,A,A,A,A,
Wawasee,3A,3A,3A,4A,2A,2A,3A,3A,
Wes‐Del,A,A,A,A,XXX,XXX,A,2A,
West Central,A,A,A,A,XXX,XXX,A,A,
West Lafayette,3A,3A,3A,3A,2A,2A,3A,3A,
West Noble,3A,3A,3A,3A,2A,2A,3A,3A,
West Vigo,3A,3A,3A,3A,2A,2A,3A,3A,
West Washington,A,A,A,A,XXX,XXX,A,A,
Western,3A,3A,3A,4A,2A,2A,3A,3A,
Western Boone,2A,2A,2A,2A,2A,A,2A,2A,
Westfield,4A,4A,4A,6A,3A,3A,4A,4A,
Westview,2A,2A,2A,XXX,A,A,2A,2A,
Westville,A,2A,2A,XXX,A,A,A,2A,
Wheeler,2A,3A,3A,2A,2A,2A,2A,3A,
White River Valley,A,A,A,XXX,A,XXX,A,A,
Whiteland,4A,4A,4A,5A,3A,3A,4A,4A,
Whiting,2A,2A,2A,2A,XXX,XXX,2A,2A,
Whitko,2A,2A,2A,2A,A,A,2A,2A,
Winamac,2A,2A,2A,A,A,XXX,2A,2A,
Winchester Community,2A,2A,3A,2A,XXX,XXX,2A,2A,
Wood Memorial,A,A,A,A,A,A,A,A,
Woodlan,2A,3A,3A,2A,2A,A,2A,2A,
Yorktown,3A,3A,3A,3A,2A,2A,3A,4A,
Zionsville,4A,4A,4A, 6A/5A3A,3A,4A,4A,
